filename,energy,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
SZA - Good Days (Audio).wav,0.18066023290157318,123.046875,-100.89656066894531,111.72708892822266,-7.806618690490723,19.465526580810547,-1.081189751625061,3.104842185974121,0.05272364243865013,1.312949776649475,-0.819309413433075,3.5681121349334717,-1.5070921182632446,0.48027926683425903,-3.4303863048553467
Katy Perry - California Gurls.wav,0.27658259868621826,143.5546875,-25.956348419189453,75.8818359375,-2.0016565322875977,22.25872230529785,4.47372579574585,9.49252986907959,4.6890058517456055,8.705056190490723,2.909301519393921,8.066691398620605,-1.6706748008728027,4.877673625946045,-2.304832935333252
Music sounds better with you - stardust {Lyrics}.wav,0.193553164601326,123.046875,-153.75531005859375,85.93981170654297,12.248644828796387,34.465065002441406,12.827561378479004,23.268945693969727,11.398069381713867,14.836172103881836,8.007050514221191,11.54173469543457,-0.4438945949077606,4.868186950683594,5.777166843414307
Blinding Lights - The Weeknd.wav,0.3306180238723755,86.1328125,-37.530372619628906,94.35083770751953,3.2355945110321045,38.29564666748047,1.7174779176712036,16.340709686279297,4.548719882965088,10.542418479919434,0.9147030711174011,15.404402732849121,5.3567399978637695,9.173440933227539,1.510774850845337
Super Mario Bros. Theme Song.wav,0.0672316923737526,129.19921875,-260.5946350097656,43.23963928222656,12.960399627685547,8.818588256835938,-1.4828494787216187,-2.708080768585205,-10.516200065612793,-4.381850719451904,-6.801182746887207,-2.1232264041900635,-4.464213848114014,-0.5338465571403503,-3.19580078125
Coldplay - Fix You.wav,0.13443826138973236,135.99917602539062,-118.48442077636719,123.05413818359375,-22.107446670532227,31.330530166625977,0.4066263735294342,8.481817245483398,-4.427986145019531,5.003453254699707,-5.135148525238037,1.9733140468597412,-1.2257170677185059,-2.559025764465332,-6.186911582946777
Lady Gaga - Poker Face (Official Music Video) 4.wav,0.2697596251964569,117.4538345336914,-40.0244140625,94.13324737548828,-3.8450655937194824,21.53036880493164,3.034320592880249,8.193180084228516,7.653286457061768,7.451430797576904,2.571545362472534,7.791396141052246,-0.9004268646240234,2.9840445518493652,-1.9703214168548584
Red Hot Chili Peppers - Californication.wav,0.34941235184669495,95.703125,-20.061843872070312,80.12855529785156,-4.128915309906006,40.811424255371094,15.368998527526855,15.212638854980469,-2.639150619506836,11.781057357788086,-2.3608510494232178,3.5607874393463135,1.9449207782745361,4.07393741607666,-4.533430099487305
We Will Rock You - Queen.wav,0.1055104061961174,83.35433197021484,-147.91580200195312,98.48847198486328,-18.33483123779297,23.094362258911133,-1.8079249858856201,1.6263600587844849,1.2661099433898926,2.4561026096343994,-3.8874666690826416,7.512301445007324,-3.789983034133911,6.426705360412598,0.236704483628273
DJ Tiesto - Adagio For Strings.wav,0.1837272197008133,143.5546875,-60.964759826660156,67.0985336303711,-8.436415672302246,26.433977127075195,4.074410438537598,12.131303787231445,-0.8349477052688599,5.609753131866455,-1.8011599779129028,3.76179575920105,-2.997962713241577,4.604785442352295,1.777679681777954
